Starting data collection...
Saved - Temp: 79.3F  Humidity: 54.5%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 54.3%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 54.2%  Air Quality: 0.30V
Saved - Temp: 79.2F  Humidity: 54.0%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 53.9%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 53.7%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 53.6%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 53.5%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 53.4%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 53.3%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 53.2%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 53.2%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 53.1%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 53.1%  Air Quality: 0.30V
Saved - Temp: 78.3F  Humidity: 53.0%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 52.9%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 53.0%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 53.3%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 53.6%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 53.8%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 54.0%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 54.2%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 54.3%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 54.3%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 54.3%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 54.4%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 54.5%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.6%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.5%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.6%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.8%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 54.8%  Air Quality: 0.31V
